data,Tradicionais,Smartphones,Total
2022-01,156314,3208541,3364855
2022-02,202768,3114296,3317064
2022-03,147845,3291180,3439025
2022-04,121880,3131234,3253114
2022-05,130145,3651992,3782137
2022-06,234574,3149162,3383736
2022-07,163882,2220444,2384326
2022-08,201353,3290185,3491538
2022-09,79164,3252347,3331511
2022-10,144842,2473438,2618280
2022-11,105536,3238556,3344092
2022-12,143515,2626604,2770119
2023-01,163996,2262382,2426378
2023-02,139109,2803569,2942678
2023-03,104217,3568728,3672945
2023-04,130219,2465384,2595603
2023-05,87973,2586063,2674036
2023-06,147760,2461201,2608961
2023-07,89178,2167289,2256467
2023-08,93167,2713827,2806994
2023-09,115451,2976412,3091863
2023-10,84409,2786545,2870954
2023-11,129796,2600281,2730077
2023-12,53687,2758416,2812103
2024-01,84354,2235616,2319970
2024-02,92953,2562625,2655578
2024-03,70916,3807083,3877999
